Run #28	Run #28	Run #28	Run #28
Date and Time	Time (s)	Acceleration (m/s²)	Acceleration (m/s²)
10/07/2025 03:09:33 pm	0.000	0.10	0.10
10/07/2025 03:09:33 pm	0.004	0.00	0.14
10/07/2025 03:09:33 pm	0.008	0.05	0.05
10/07/2025 03:09:33 pm	0.012	0.00	0.14
10/07/2025 03:09:33 pm	0.016	0.05	0.14
10/07/2025 03:09:33 pm	0.020	0.10	0.10
10/07/2025 03:09:33 pm	0.024	0.05	0.19
10/07/2025 03:09:33 pm	0.028	0.10	0.05
10/07/2025 03:09:33 pm	0.032	0.10	0.19
10/07/2025 03:09:33 pm	0.036	0.19	0.10
10/07/2025 03:09:33 pm	0.040	0.10	0.05
10/07/2025 03:09:33 pm	0.044	0.10	0.14
10/07/2025 03:09:33 pm	0.048	0.10	0.10
10/07/2025 03:09:33 pm	0.052	0.10	0.05
10/07/2025 03:09:33 pm	0.056	0.05	0.10
10/07/2025 03:09:33 pm	0.060	0.10	0.10
10/07/2025 03:09:33 pm	0.064	0.14	0.14
10/07/2025 03:09:33 pm	0.068	0.05	0.10
10/07/2025 03:09:33 pm	0.072	0.10	0.10
10/07/2025 03:09:33 pm	0.076	0.10	0.14
10/07/2025 03:09:33 pm	0.080	0.10	0.05
10/07/2025 03:09:33 pm	0.084	0.10	0.05
10/07/2025 03:09:33 pm	0.088	-0.05	0.10
10/07/2025 03:09:33 pm	0.092	0.05	0.14
10/07/2025 03:09:33 pm	0.096	0.05	0.14
10/07/2025 03:09:33 pm	0.100	0.10	0.14
10/07/2025 03:09:33 pm	0.104	0.10	0.14
10/07/2025 03:09:33 pm	0.108	0.10	0.24
10/07/2025 03:09:33 pm	0.112	0.10	0.14
10/07/2025 03:09:33 pm	0.116	0.00	0.24
10/07/2025 03:09:33 pm	0.120	0.05	0.19
10/07/2025 03:09:33 pm	0.124	0.10	0.24
10/07/2025 03:09:33 pm	0.128	0.10	0.19
10/07/2025 03:09:33 pm	0.132	0.10	0.24
10/07/2025 03:09:33 pm	0.136	0.10	0.24
10/07/2025 03:09:33 pm	0.140	0.19	0.14
10/07/2025 03:09:33 pm	0.144	0.10	0.14
10/07/2025 03:09:33 pm	0.148	0.05	0.19
10/07/2025 03:09:33 pm	0.152	0.10	0.10
10/07/2025 03:09:33 pm	0.156	0.10	0.24
10/07/2025 03:09:33 pm	0.160	0.00	0.05
10/07/2025 03:09:33 pm	0.164	0.00	0.05
10/07/2025 03:09:33 pm	0.168	0.00	0.10
10/07/2025 03:09:33 pm	0.172	0.05	0.10
