	massa A		massa B		
t	x	frame	x	frame	
7.333	-1.094	220	362.7	220
7.367	-1.053	221	362.7	221
7.400	-1.027	222	362.7	222
7.433	-0.968	223	362.7	223
7.467	-0.971	224	362.7	224
7.500	-0.896	225	362.7	225
7.533	-0.861	226	362.7	226
7.567	-0.819	227	362.8	227
7.600	-0.805	228	362.8	228
7.633	-0.738	229	362.8	229
7.667	-0.705	230	362.8	230
7.700	-0.624	231	362.8	231
7.733	-0.500	232	362.8	232
7.767	-0.240	233	362.8	233
7.800	5.305E-2	234	362.8	234
7.833	0.399	235	362.8	235
7.867	0.981	236	362.8	236
7.900	1.678	237	362.8	237
7.933	2.712	238	362.8	238
7.967	3.960	239	362.8	239
8.000	5.723	240	362.8	240
8.033	7.891	241	362.8	241
8.067	10.54	242	362.8	242
8.100	13.45	243	362.8	243
8.133	16.93	244	362.8	244
8.167	20.60	245	362.7	245
8.200	24.60	246	362.7	246
8.233	28.90	247	362.7	247
8.267	33.36	248	362.7	248
8.300	37.80	249	362.7	249
8.333	42.32	250	362.7	250
8.367	46.83	251	362.6	251
8.400	51.48	252	362.6	252
8.433	55.82	253	362.6	253
8.467	60.47	254	362.7	254
8.500	64.85	255	362.6	255
8.533	69.38	256	362.7	256
8.567	73.84	257	362.7	257
8.600	78.35	258	362.7	258
8.633	82.76	259	362.7	259
8.667	87.21	260	362.7	260
8.700	91.65	261	362.7	261
8.733	96.15	262	362.7	262
8.767	100.6	263	362.8	263
8.800	104.9	264	362.8	264
8.833	109.2	265	362.8	265
8.867	113.7	266	362.8	266
8.900	118.2	267	362.9	267
8.933	122.6	268	362.9	268
8.967	126.9	269	362.9	269
9.000	131.3	270	362.9	270
9.033	135.6	271	362.9	271
9.067	139.9	272	362.9	272
9.100	144.4	273	362.9	273
9.133	148.7	274	362.8	274
9.167	152.9	275	362.8	275
9.200	157.2	276	362.8	276
9.233	161.6	277	362.8	277
9.267	165.8	278	362.8	278
9.300	170.0	279	362.8	279
9.333	174.3	280	362.8	280
9.367	178.5	281	362.8	281
9.400	182.7	282	362.8	282
9.433	186.9	283	362.8	283
9.467	191.0	284	362.7	284
9.500	195.2	285	362.7	285
9.533	199.4	286	362.7	286
9.567	203.5	287	362.7	287
9.600	207.7	288	362.7	288
9.633	211.7	289	362.7	289
9.667	215.8	290	362.7	290
9.700	219.8	291	362.7	291
9.733	223.8	292	362.7	292
9.767	227.9	293	362.7	293
9.800	231.9	294	362.7	294
9.833	235.9	295	362.7	295
9.867	239.9	296	362.7	296
9.900	243.9	297	362.7	297
9.933	248.1	298	362.7	298
9.967	252.0	299	362.7	299
10.000	256.0	300	362.7	300
10.033	260.0	301	362.7	301
10.067	264.0	302	362.7	302
10.100	267.9	303	362.8	303
10.133	271.9	304	362.8	304
10.167	275.9	305	362.8	305
10.200	279.9	306	362.8	306
10.233	283.9	307	362.8	307
10.267	287.9	308	362.8	308
10.300	291.9	309	362.9	309
10.333	295.8	310	363.0	310
10.367	299.8	311	363.0	311
10.400	299.8	312	363.0	312
10.433	303.6	313	363.0	313
10.467	307.5	314	363.2	314
10.500	311.4	315	363.6	315
10.533	315.0	316	364.0	316
10.567	318.5	317	364.5	317
10.600	321.8	318	365.4	318
10.633	324.8	319	366.5	319
10.667	327.3	320	367.9	320
10.700	329.3	321	369.6	321
10.733	331.0	322	371.9	322
10.767	332.3	323	374.5	323
10.800	333.1	324	377.7	324
10.833	333.8	325	380.9	325
10.867	334.3	326	384.4	326
10.900	334.7	327	388.2	327
10.933	334.9	328	391.8	328
10.967	335.1	329	395.7	329
11.000	335.2	330	399.6	330
11.033	335.2	331	403.6	331
11.067	335.2	332	407.7	332
11.100	335.3	333	411.7	333
11.133	335.2	334	415.7	334
11.167	335.2	335	419.7	335
11.200	335.1	336	423.8	336
11.233	335.1	337	427.8	337
11.267	335.0	338	431.9	338
11.300	335.0	339	435.9	339
11.333	335.0	340	439.9	340
11.367	335.0	341	444.0	341
11.400	335.0	342	448.0	342
11.433	334.9	343	452.0	343
11.467	334.9	344	456.0	344
11.500	334.9	345	460.1	345
11.533	334.9	346	464.1	346
11.567	334.9	347	468.1	347
11.600	334.8	348	472.1	348
11.633	334.8	349	476.1	349
11.667	334.8	350	480.1	350
11.700	334.8	351	484.1	351
11.733	334.8	352	488.1	352
11.767	334.8	353	492.1	353
11.800	334.8	354	496.1	354
11.833	334.8	355	500.1	355
11.867	334.8	356	504.1	356
11.900	334.8	357	508.2	357
11.933	334.8	358	512.1	358
11.967	334.8	359	516.1	359
12.000	334.7	360	520.1	360
12.033	334.8	361	524.1	361
12.067	334.8	362	528.1	362
12.100	334.8	363	532.2	363
12.133	334.8	364	536.2	364
12.167	334.8	365	540.1	365
12.200	334.8	366	544.2	366
12.233	334.8	367	548.2	367
12.267	334.8	368	552.1	368
12.300	334.8	369	556.2	369
12.333	334.8	370	560.1	370
12.367	334.8	371	564.0	371
12.400	334.8	372	568.1	372
12.433	334.8	373	572.0	373
12.467	334.8	374	576.0	374
12.500	334.8	375	580.0	375
12.533	334.8	376	584.1	376
12.567	334.8	377	588.0	377
12.600	334.8	378	591.8	378
12.633	334.8	379	595.5	379
12.667	334.8	380	599.4	380
12.700	334.8	381	603.3	381
12.733	334.8	382	607.2	382
12.767	334.8	383	611.0	383
12.800	334.8	384	614.9	384
12.833	334.8	385	618.6	385
12.867	334.8	386	622.4	386
12.900	334.8	387	626.3	387
12.933	334.8	388	630.0	388
12.967	334.8	389	633.1	389
13.000	334.7	390	635.4	390
13.033	334.8	391	637.0	391
13.067	334.7	392	637.4	392
13.100	334.7	393	636.9	393
13.133	334.7	394	635.4	394
13.167	334.7	395	633.3	395
13.200	334.7	396	630.6	396
13.233	334.7	397	627.6	397
13.267	334.7	398	624.5	398
13.300	334.7	399	621.5	399
13.333	334.7	400	618.6	400
13.367	334.8	401	615.6	401
13.400	334.8	402	612.6	402
13.433	334.8	403	609.6	403
13.467	334.8	404	606.6	404
13.500	334.8	405	603.6	405
13.533	334.8	406	600.6	406
13.567	334.8	407	597.5	407
13.600	334.8	408	594.6	408
13.633	334.8	409	591.5	409
13.667	334.8	410	588.5	410
13.700	334.8	411	585.5	411
13.733	334.8	412	582.5	412
13.767	334.8	413	579.5	413
13.800	334.8	414	576.5	414
13.833	334.8	415	573.4	415
13.867	334.7	416	570.4	416
13.900	334.8	417	567.4	417
13.933	334.8	418	564.3	418
13.967	334.7	419	561.3	419
14.000	334.6	420	558.2	420
14.033	334.7	421	555.2	421
14.067	334.7	422	552.2	422
14.100	334.7	423	549.2	423
